iter	Passed	Remaining
535	895	774
536	896	773
537	897	771
538	899	769
539	900	767
540	901	765
541	903	763
542	904	761
543	906	759
544	907	757
545	908	755
546	909	753
547	910	751
548	912	749
549	913	747
550	914	745
551	916	743
552	917	741
553	918	739
554	920	737
555	921	736
556	923	734
557	924	732
558	925	730
559	926	728
560	928	726
561	929	724
562	930	722
563	932	720
564	933	718
565	935	717
566	936	715
567	937	713
568	938	711
569	940	709
570	941	707
571	942	705
572	944	703
573	945	701
574	946	699
575	947	697
576	948	695
577	949	693
578	951	691
579	952	689
580	953	687
581	954	685
582	955	683
583	957	681
584	958	680
585	960	678
586	961	676
587	962	674
588	964	672
589	965	670
590	966	668
591	967	667
592	968	664
593	970	663
594	971	661
595	972	659
596	974	657
597	975	655
598	976	653
599	977	651
600	978	649
601	980	648
602	981	646
603	982	644
604	983	642
605	984	640
606	986	638
607	987	636
608	988	634
609	989	632
610	990	630
611	991	628
612	992	626
613	993	624
614	995	623
615	996	621
616	997	619
617	998	617
618	999	615
619	1000	613
620	1002	611
621	1003	609
622	1004	608
623	1005	606
624	1007	604
625	1008	602
626	1009	600
627	1011	599
628	1012	597
629	1013	595
630	1014	593
631	1015	591
632	1017	589
633	1018	587
634	1019	586
635	1020	584
636	1021	582
637	1022	580
638	1024	578
639	1025	576
640	1026	575
641	1027	573
642	1029	571
643	1030	569
644	1031	567
645	1032	566
646	1034	564
647	1035	562
648	1036	560
649	1037	558
650	1038	556
651	1040	555
652	1041	553
653	1043	551
654	1044	549
655	1045	548
656	1046	546
657	1048	544
658	1049	543
659	1050	541
660	1052	539
661	1053	537
662	1054	536
663	1055	534
664	1057	532
665	1058	530
666	1059	529
667	1060	527
668	1062	525
669	1064	524
670	1065	522
671	1066	520
672	1067	518
673	1068	517
674	1070	515
675	1071	513
676	1072	511
677	1074	510
678	1075	508
679	1076	506
680	1078	505
681	1080	503
682	1081	501
683	1082	500
684	1083	498
685	1085	496
686	1086	495
687	1088	493
688	1089	491
689	1090	489
690	1095	489
691	1096	488
692	1097	486
693	1099	484
694	1100	483
695	1101	481
696	1103	479
697	1104	477
698	1105	476
699	1107	474
700	1108	472
701	1110	471
702	1111	469
703	1112	467
704	1113	466
705	1115	464
706	1116	462
707	1118	461
708	1119	459
709	1120	457
710	1121	455
711	1122	454
712	1123	452
713	1124	450
714	1125	448
715	1127	447
716	1128	445
717	1129	443
718	1131	442
719	1132	440
720	1133	438
721	1135	437
722	1136	435
723	1137	433
724	1138	431
725	1140	430
726	1141	428
727	1142	426
728	1143	425
729	1145	423
730	1146	421
731	1147	420
732	1148	418
733	1149	416
734	1150	414
735	1151	413
736	1153	411
737	1154	409
738	1155	408
739	1156	406
740	1157	404
741	1158	402
742	1160	401
743	1161	399
744	1162	398
745	1164	396
746	1165	394
747	1166	393
748	1167	391
749	1169	389
750	1170	388
751	1171	386
752	1172	384
753	1174	383
754	1175	381
755	1176	379
756	1178	378
757	1179	376
758	1180	374
759	1181	373
760	1182	371
761	1184	369
762	1185	368
763	1186	366
764	1187	364
765	1188	363
766	1189	361
767	1191	359
768	1192	358
769	1194	356
770	1195	355
771	1196	353
772	1197	351
773	1199	350
774	1200	348
775	1201	346
776	1202	345
777	1203	343
778	1204	341
779	1205	340
780	1207	338
781	1208	336
782	1209	335
783	1210	333
784	1211	331
785	1212	330
786	1213	328
787	1215	326
788	1216	325
789	1217	323
790	1218	321
791	1219	320
792	1220	318
793	1221	316
794	1222	315
795	1223	313
796	1224	311
797	1226	310
798	1227	308
799	1228	307
800	1229	305
801	1230	303
802	1232	302
803	1233	300
804	1234	298
805	1235	297
806	1236	295
807	1237	294
808	1238	292
809	1240	290
810	1241	289
811	1242	287
812	1243	286
813	1244	284
814	1246	282
815	1247	281
816	1248	279
817	1249	277
818	1250	276
819	1251	274
820	1252	273
821	1253	271
822	1254	269
823	1255	268
824	1257	266
825	1258	265
826	1259	263
827	1260	261
828	1262	260
829	1263	258
830	1264	257
831	1265	255
832	1266	253
833	1267	252
834	1268	250
835	1269	249
836	1270	247
837	1271	245
838	1272	244
839	1273	242
840	1275	241
841	1276	239
842	1277	237
843	1278	236
844	1279	234
845	1280	233
846	1282	231
847	1283	230
848	1285	228
849	1286	227
850	1287	225
851	1288	223
852	1290	222
853	1291	220
854	1292	219
855	1293	217
856	1294	216
857	1295	214
858	1297	212
859	1298	211
860	1299	209
861	1300	208
862	1301	206
863	1303	205
864	1304	203
865	1305	202
866	1306	200
867	1307	198
868	1309	197
869	1310	195
870	1311	194
871	1312	192
872	1313	191
873	1314	189
874	1316	188
875	1317	186
876	1317	184
877	1318	183
878	1322	181
879	1325	180
880	1326	179
881	1327	177
882	1329	176
883	1330	174
884	1331	173
885	1332	171
886	1334	169
887	1335	168
888	1336	166
889	1337	165
890	1338	163
891	1340	162
892	1341	160
893	1342	159
894	1343	157
895	1344	156
896	1346	154
897	1347	153
898	1348	151
899	1349	149
900	1350	148
901	1352	146
902	1353	145
903	1354	143
904	1355	142
905	1356	140
906	1358	139
907	1359	137
908	1360	136
909	1361	134
910	1362	133
911	1364	131
912	1365	130
913	1366	128
914	1368	127
915	1369	125
916	1370	124
917	1371	122
918	1372	121
919	1374	119
920	1375	117
921	1376	116
922	1378	114
923	1379	113
924	1380	111
925	1381	110
926	1382	108
927	1384	107
928	1385	105
929	1386	104
930	1387	102
931	1388	101
932	1390	99
933	1391	98
934	1392	96
935	1393	95
936	1394	93
937	1395	92
938	1396	90
939	1398	89
940	1399	87
941	1400	86
942	1401	84
943	1402	83
944	1404	81
945	1405	80
946	1406	78
947	1407	77
948	1409	75
949	1410	74
950	1411	72
951	1413	71
952	1414	69
953	1415	68
954	1416	66
955	1417	65
956	1418	63
957	1419	62
958	1421	60
959	1422	59
960	1423	57
961	1424	56
962	1425	54
963	1427	53
964	1429	51
965	1430	50
966	1432	48
967	1433	47
968	1434	45
969	1436	44
970	1437	42
971	1438	41
972	1439	39
973	1440	38
974	1442	36
975	1443	35
976	1444	34
977	1445	32
978	1446	31
979	1447	29
980	1448	28
981	1449	26
982	1451	25
983	1452	23
984	1453	22
985	1454	20
986	1455	19
987	1456	17
988	1457	16
989	1458	14
990	1459	13
991	1461	11
992	1462	10
993	1463	8
994	1464	7
995	1465	5
996	1467	4
997	1468	2
998	1469	1
999	1470	0
